DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:307: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: a99f82f1-58ad-45e4-9678-f42e8b823970
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps, checkpoint every 500 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
403	4.625		2777	35.4	256	305.4
404	4.750		2775	35.4	256	305.1
405	4.688		2776	35.4	256	305.2
406	4.531		2774	35.4	256	304.9
407	4.719		2775	35.4	256	305.0
408	4.875		2777	35.4	256	305.2
409	5.000		2777	35.4	256	305.2
410	4.500		2778	35.4	256	305.1
411	4.469		2776	35.4	256	304.9
412	4.656		2773	35.4	256	304.6
413	4.562		2774	35.4	256	304.5
414	4.938		2775	35.4	256	304.7
415	4.875		2776	35.4	256	304.8
416	4.750		2775	35.4	256	304.5
417	4.562		2777	35.4	256	304.8
418	4.781		2777	35.4	256	304.7
419	4.688		2773	35.4	256	304.2
420	4.719		2774	35.4	256	304.2
421	4.844		2776	35.4	256	304.5
422	4.406		2777	35.4	256	304.5
423	4.938		2776	35.4	256	304.3
424	4.750		2773	35.5	256	303.9
425	4.625		2772	35.5	256	303.8
426	4.812		2778	35.4	256	304.5
427	4.750		2775	35.4	256	304.0
428	4.438		2777	35.4	256	304.2
429	4.688		2784	35.3	256	304.9
430	4.531		2776	35.4	256	304.0
431	4.625		2784	35.3	256	304.8
432	4.594		2776	35.4	256	303.9
433	4.562		2777	35.4	256	304.0
434	4.594		2773	35.4	256	303.5
435	4.750		2777	35.4	256	303.8
436	4.594		2782	35.3	256	304.4
437	5.062		2777	35.4	256	303.8
438	4.875		2777	35.4	256	303.7
439	4.594		2776	35.4	256	303.6
440	4.625		2777	35.4	256	303.7
441	4.719		2777	35.4	256	303.6
442	4.656		2777	35.4	256	303.5
443	4.500		2776	35.4	256	303.5
444	4.562		2776	35.4	256	303.4
445	4.750		2777	35.4	256	303.4
446	4.719		2776	35.4	256	303.3
447	4.344		2774	35.4	256	303.0
448	4.344		2774	35.4	256	302.9
449	4.562		2780	35.4	256	303.5
450	4.688		2776	35.4	256	303.1
451	4.438		2776	35.4	256	303.1
452	4.562		2776	35.4	256	303.0
453	4.594		2777	35.4	256	303.0
454	4.438		2775	35.4	256	302.8
455	4.531		2774	35.4	256	302.7
456	4.594		2776	35.4	256	302.8
457	4.344		2776	35.4	256	302.8
458	4.469		2776	35.4	256	302.7
459	4.531		2774	35.4	256	302.5
460	4.469		2790	35.2	256	304.2
461	4.094		2778	35.4	256	302.8
462	4.281		2776	35.4	256	302.5
463	4.562		2776	35.4	256	302.5
464	4.406		2776	35.4	256	302.4
465	4.781		2778	35.4	256	302.6
466	4.406		2782	35.3	256	303.0
467	4.656		2776	35.4	256	302.3
468	4.531		2775	35.4	256	302.1
469	4.594		2776	35.4	256	302.2
470	4.156		2777	35.4	256	302.3
471	4.500		2777	35.4	256	302.3
472	4.469		2777	35.4	256	302.2
473	4.438		2776	35.4	256	302.0
474	4.625		2774	35.4	256	301.7
475	4.219		2776	35.4	256	301.9
476	4.375		2779	35.4	256	302.3
477	4.969		2779	35.4	256	302.2
478	4.438		2777	35.4	256	301.9
479	4.656		2777	35.4	256	301.9
480	4.406		2778	35.4	256	301.9
481	4.438		2777	35.4	256	301.8
482	4.438		2774	35.4	256	301.4
483	4.531		2777	35.4	256	301.7
484	4.469		2777	35.4	256	301.6
485	4.688		2780	35.4	256	301.9
486	4.656		2778	35.4	256	301.6
487	4.719		2774	35.4	256	301.2
488	4.406		2777	35.4	256	301.4
489	5.156		2777	35.4	256	301.4
490	4.469		2777	35.4	256	301.4
491	4.219		2775	35.4	256	301.1
492	4.656		2774	35.4	256	300.9
493	4.438		2776	35.4	256	301.1
494	4.781		2776	35.4	256	301.1
495	4.406		2776	35.4	256	301.0
496	4.844		2775	35.4	256	300.9
497	4.594		2775	35.4	256	300.8
498	4.188		2778	35.4	256	301.0
499	5.094		2773	35.4	256	300.5
500	4.500		2774	35.4	256	300.6
501	4.719	4.824	2775	35.4	256	300.6
Saved checkpoint at step 500
502	4.469		8297	11.8	256	898.8
503	4.656		2768	35.5	256	299.8
504	4.750		2762	35.6	256	299.0
505	4.625		2772	35.5	256	300.1
506	4.469		2761	35.6	256	298.9
507	5.156		2768	35.5	256	299.6
508	4.656		2771	35.5	256	299.9
509	4.531		2830	34.7	256	306.2
510	4.594		2763	35.6	256	298.9
511	4.562		2761	35.6	256	298.7
512	4.438		2763	35.6	256	298.8
513	4.375		2762	35.6	256	298.7
514	4.781		2764	35.6	256	298.8
515	4.781		2776	35.4	256	300.0
516	4.719		2777	35.4	256	300.1
517	4.812		2776	35.4	256	300.0
518	4.406		2775	35.4	256	299.8
519	4.906		2776	35.4	256	299.9
520	4.656		2774	35.4	256	299.6
521	4.531		2775	35.4	256	299.7
522	4.562		2776	35.4	256	299.7
523	4.656		2781	35.4	256	300.2
524	4.750		2780	35.4	256	300.1
525	4.500		2776	35.4	256	299.6
526	4.688		2773	35.5	256	299.2
527	4.625		2775	35.4	256	299.4
528	4.406		2779	35.4	256	299.8
529	4.688		2774	35.4	256	299.2
530	4.500		2771	35.5	256	298.9
531	4.750		2778	35.4	256	299.6
532	4.406		2777	35.4	256	299.4
533	4.625		2775	35.4	256	299.2
534	4.562		2774	35.4	256	299.0
535	4.875		2776	35.4	256	299.1
536	4.375		2778	35.4	256	299.4
537	4.531		2778	35.4	256	299.3
538	4.719		2776	35.4	256	299.0
539	4.781		2775	35.4	256	298.9
540	4.531		2779	35.4	256	299.2
541	4.875		2774	35.4	256	298.6
542	4.625		2776	35.4	256	298.8
543	4.500		2775	35.4	256	298.7
544	4.500		2775	35.4	256	298.7
545	4.656		2777	35.4	256	298.8
546	4.531		2776	35.4	256	298.6
547	4.656		2776	35.4	256	298.6
548	4.500		2775	35.4	256	298.4
549	4.594		2777	35.4	256	298.6
550	4.438		2776	35.4	256	298.5
551	4.531		2779	35.4	256	298.8
552	4.438		2773	35.5	256	298.0
553	4.312		2775	35.4	256	298.2
554	4.406		2775	35.4	256	298.1
555	4.531		2778	35.4	256	298.4
556	4.906		2775	35.4	256	298.1
557	4.594		2775	35.4	256	298.0
558	4.875		2777	35.4	256	298.2
559	4.375		2774	35.4	256	297.9
560	5.438		2773	35.4	256	297.7
561	4.500		2775	35.4	256	297.8
562	4.375		2776	35.4	256	297.9
563	4.625		2776	35.4	256	297.8
564	4.469		2776	35.4	256	297.8
565	4.750		2773	35.4	256	297.5
566	4.562		2779	35.4	256	298.0
567	4.562		2777	35.4	256	297.8
568	4.562		2776	35.4	256	297.6
569	4.562		2775	35.4	256	297.5
570	4.406		2779	35.4	256	297.9
571	4.781		2780	35.4	256	297.9
572	4.469		2777	35.4	256	297.5
573	4.656		2774	35.4	256	297.2
574	4.625		2773	35.5	256	297.0
575	4.625		2776	35.4	256	297.3
576	4.562		2777	35.4	256	297.3
577	4.844		2774	35.4	256	297.0
578	4.562		2775	35.4	256	297.0
579	4.625		2776	35.4	256	297.1
580	4.688		2776	35.4	256	297.1
581	4.250		2776	35.4	256	297.1
582	4.531		2775	35.4	256	296.9
583	4.406		2773	35.4	256	296.7
584	4.375		2779	35.4	256	297.2
585	4.531		2776	35.4	256	296.9
586	4.562		2771	35.5	256	296.3
587	4.406		2772	35.5	256	296.4
588	3.922		2777	35.4	256	296.8
589	4.688		2775	35.4	256	296.6
590	5.062		2775	35.4	256	296.5
591	4.469		2776	35.4	256	296.5
592	4.312		2775	35.4	256	296.4
593	4.469		2775	35.4	256	296.3
594	4.500		2776	35.4	256	296.4
595	4.469		2774	35.4	256	296.2
596	4.375		2775	35.4	256	296.2
597	4.688		2777	35.4	256	296.4
598	4.531		2774	35.4	256	296.0
599	4.438		2775	35.4	256	296.1
600	4.438		2777	35.4	256	296.2
601	4.625		2775	35.4	256	296.0
602	4.469		2774	35.4	256	295.8
603	4.375		2775	35.4	256	295.9
604	4.344		2774	35.4	256	295.7
605	4.531		2777	35.4	256	296.0
606	4.562		2777	35.4	256	296.0
607	4.531		2777	35.4	256	296.0
608	4.219		2777	35.4	256	295.9
609	4.406		2773	35.4	256	295.5
